Date,AAPL,AMZN,GOOG,MSFT
12/4/2014,108.084389,316.929993,534.371765,44.687057
12/5/2014,107.625816,312.630005,522.387634,44.302776
12/8/2014,105.192535,306.640015,524.098206,43.643993
12/9/2014,106.802246,312.5,530.453308,43.54335
12/10/2014,104.771408,305.839996,523.183228,42.912018
12/11/2014,104.462563,307.359985,525.450806,43.159073
12/12/2014,102.693748,307.320007,515.82373,42.957771
12/15/2014,101.28994,306.070007,510.990295,42.701588
12/16/2014,99.904823,295.059998,492.680969,41.319981
12/17/2014,102.394249,298.880005,502.129028,41.850662
12/18/2014,105.426498,297.730011,508.305054,43.479301
12/19/2014,104.612289,299.899994,513.526367,43.607403
12/22/2014,105.697906,306.540009,521.999756,43.900188
12/23/2014,105.323563,306.290009,527.688477,44.330231
12/24/2014,104.827553,303.029999,525.878418,44.046589
12/26/2014,106.680573,309.089996,531.10968,43.808685
12/29/2014,106.605721,312.040009,527.429932,43.41526
12/30/2014,105.30484,310.299988,527.519409,43.02182
12/31/2014,103.302063,310.350006,523.521423,42.500294
1/2/2015,102.319397,308.519989,521.937744,42.783936
1/5/2015,99.43689,302.190002,511.057617,42.390499
1/6/2015,99.446251,295.290009,499.212799,41.768314
1/7/2015,100.840714,298.420013,498.357513,42.299
1/8/2015,104.715256,300.459991,499.928864,43.54335
1/9/2015,104.827553,296.929993,493.454498,43.177368
1/12/2015,102.244522,291.410004,489.854309,42.637531
1/13/2015,103.152313,294.73999,493.464447,42.417942
1/14/2015,102.759262,293.269989,498.128784,42.051949
1/15/2015,99.970337,286.950012,499.043732,41.612778
1/16/2015,99.193558,290.73999,505.299316,42.308151
